yaw,pitch
6.162386926836227730e+01,8.026371710040196206e+01
6.150352702734309673e+01,8.062177905364592334e+01
6.138770276334648202e+01,8.098132787815249856e+01
6.127641483974548464e+01,8.134230656920641422e+01
6.116968090069846653e+01,8.170465789539399282e+01
6.106751786835169327e+01,8.206832440767706771e+01
6.096994194015645974e+01,8.243324844850094735e+01
6.087696858630101815e+01,8.279937216093608754e+01
6.078861254725786978e+01,8.316663749785072923e+01
6.070488783144676148e+01,8.353498623111411803e+01
6.062580771301365701e+01,8.390435996082837278e+01
6.055138472972625152e+01,8.427470012458735482e+01
6.048163068098614303e+01,8.464594800676145780e+01
6.041655662595806575e+01,8.501804474780686860e+01
6.035617288181657614e+01,8.539093135359725295e+01
6.030048902211024142e+01,8.576454870477704162e+01
6.024951387524387059e+01,8.613883756613464016e+01
6.020325552307876649e+01,8.651373859599370064e+01
6.016172129965140414e+01,8.688919235562154597e+01
6.012491779001065595e+01,8.726513931865295604e+01
6.009285082917374154e+01,8.764151988052761055e+01
6.006552550120116507e+01,8.801827436794032167e+01
6.004294613839060446e+01,8.839534304830171152e+01
6.002511632059007951e+01,8.877266613920869531e+01
6.001203887463037745e+01,8.915018381792266666e+01
6.000371587387688521e+01,8.952783623085402098e+01
6.000014863790082131e+01,8.990556350305168110e+01
6.000133773227008760e+01,9.028330574769609029e+01
6.000728296845956322e+01,9.066100307559379701e+01
6.001798340388100428e+01,9.103859560467269318e+01
6.003343734203248516e+01,9.141602346947605895e+01
6.005364233276736030e+01,9.179322683065383615e+01
6.007859517268273919e+01,9.217014588444995127e+01
6.010829190562736102e+01,9.254672087218391141e+01
6.014272782332883338e+01,9.292289208972513848e+01
6.018189746614010005e+01,9.329859989695897582e+01
6.022579462390503124e+01,9.367378472724210781e+01
6.027441233694301559e+01,9.404838709684666753e+01
6.032774289715241878e+01,9.442234761439118529e+01
6.038577784923261760e+01,9.479560699025664405e+01
6.044850799202454539e+01,9.516810604598659040e+01
6.051592337996956417e+01,9.553978572366972344e+01
6.058801332468619449e+01,9.591058709530307169e+01
6.066476639666474568e+01,9.628045137213479165e+01
6.074617042707940584e+01,9.664931991398495370e+01
6.083221250971759275e+01,9.701713423854246798e+01
6.092287900302605408e+01,9.738383603063726923e+01
6.101815553227383049e+01,9.774936715148598410e+01
6.111802699183113674e+01,9.811366964790934730e+01
6.122247754756442362e+01,9.847668576152059927e+01
6.133149063934669698e+01,9.883835793788269086e+01
6.144504898368310819e+01,9.919862883563321532e+01
6.156313457645116216e+01,9.955744133557577413e+01
6.168572869575515227e+01,9.991473854973577318e+01
6.181281190489443844e+01,1.002704638303797822e+02
6.194436405544507807e+01,1.006245607789968517e+02
6.208036429045421301e+01,1.009769732552400683e+02
6.222079104774682889e+01,1.013276453858274238e+02
6.236562206334441072e+01,1.016765215734003078e+02
6.251483437499469886e+01,1.020235465053380608e+02
6.266840432581227560e+01,1.023686651625275488e+02
6.282630756802928573e+01,1.027118228280863690e+02
6.298851906685558788e+01,1.030529650960376102e+02
6.315501310444798833e+01,1.033920378799359980e+02
6.332576328398755550e+01,1.037289874214427670e+02
6.350074253386481615e+01,1.040637602988489050e+02
6.367992311197180300e+01,1.043963034355449793e+02
6.386327661010039947e+01,1.047265641084359942e+02
6.405077395844631383e+01,1.050544899563004861e+02
6.424238543021805015e+01,1.053800289880921923e+02
6.443808064634980326e+01,1.057031295911828863e+02
6.463782858031801482e+01,1.060237405395452583e+02
6.484159756306047484e+01,1.063418110018747882e+02
6.504935528799725830e+01,1.066572905496485077e+02
6.526106881615274347e+01,1.069701291651203832e+02
6.547670458137801575e+01,1.072802772492513697e+02
6.569622839567259120e+01,1.075876856295729880e+02
6.591960545460469234e+01,1.078923055679835556e+02
6.614680034282939403e+01,1.081940887684752113e+02
6.637777703970350274e+01,1.084929873847910500e+02
6.661249892499652958e+01,1.087889540280110197e+02
6.685092878469657762e+01,1.090819417740650863e+02
6.709302881691040454e+01,1.093719041711728153e+02
6.733876063785689325e+01,1.096587952472081895e+02
6.758808528795242410e+01,1.099425695169881578e+02
6.784096323798783601e+01,1.102231819894840896e+02
6.809735439539562663e+01,1.105005881749549985e+02
6.835721811060626862e+01,1.107747440920010007e+02
6.862051318349315920e+01,1.110456062745364960e+02
6.888719786990465366e+01,1.113131317786814520e+02
6.915722988828235884e+01,1.115772781895699239e+02
6.943056642636474862e+01,1.118380036280747731e+02
6.970716414797475124e+01,1.120952667574473622e+02
6.998697919989049865e+01,1.123490267898712887e+02
7.026996721879814345e+01,1.125992434929291335e+02
7.055608333832532253e+01,1.128458771959811031e+02
7.084528219615452826e+01,1.130888887964545688e+02
7.113751794121520788e+01,1.133282397660436800e+02
7.143274424095301356e+01,1.135638921568177437e+02
7.173091428867579111e+01,1.137958086072377313e+02
7.203198081097443151e+01,1.140239523480798027e+02
7.233589607521793141e+01,1.142482872082647987e+02
7.264261189712104283e+01,1.144687776205930732e+02
7.295207964838387227e+01,1.146853886273834604e+02
7.326425026440138311e+01,1.148980858860156360e+02
7.357907425204261642e+01,1.151068356743750201e+02
7.389650169749738495e+01,1.153116048961991993e+02
7.421648227418992860e+01,1.155123610863251855e+02
7.453896525075806778e+01,1.157090724158366584e+02
7.486389949909619190e+01,1.159017076971102398e+02
7.519123350246154303e+01,1.160902363887601183e+02
7.552091536364190461e+01,1.162746286004803267e+02
7.585289281318358690e+01,1.164548550977836072e+02
7.618711321767857214e+01,1.166308873066364526e+02
7.652352358810929900e+01,1.168026973179893417e+02
7.686207058824967930e+01,1.169702578922016585e+02
7.720270054312145191e+01,1.171335424633602855e+02
7.754535944750402621e+01,1.172925251434916305e+02
7.788999297449672099e+01,1.174471807266659198e+02
7.823654648413207724e+01,1.175974846929935751e+02
7.858496503203873829e+01,1.177434132125126496e+02
7.893519337815257586e+01,1.178849431489669968e+02
7.928717599547482564e+01,1.180220520634743906e+02
7.964085707887551280e+01,1.181547182180840991e+02
7.999618055394115856e+01,1.182829205792233438e+02
8.035309008586510515e+01,1.184066388210320611e+02
8.071152908837908058e+01,1.185258533285854980e+02
8.107144073272465334e+01,1.186405452010039738e+02
8.143276795666332646e+01,1.187506962544496503e+02
8.179545347352322437e+01,1.188562890250094028e+02
8.215943978128177605e+01,1.189573067714636352e+02
8.252466917168241878e+01,1.190537334779405683e+02
8.289108373938378804e+01,1.191455538564554786e+02
8.325862539114051231e+01,1.192327533493344447e+02
8.362723585501349532e+01,1.193153181315225453e+02
8.399685668960863438e+01,1.193932351127755851e+02
8.436742929334259600e+01,1.194664919397356329e+02
8.473889491373356009e+01,1.195350769978894903e+02
8.511119465671630735e+01,1.195989794134102056e+02
8.548426949597958924e+01,1.196581890548809355e+02
8.585806028232434528e+01,1.197126965349013972e+02
8.623250775304161664e+01,1.197624932115760146e+02
8.660755254130837955e+01,1.198075711898842428e+02
8.698313518559976387e+01,1.198479233229321039e+02
8.735919613911642045e+01,1.198835432130854031e+02
8.773567577922553085e+01,1.199144252129840140e+02
8.811251441691338471e+01,1.199405644264372626e+02
8.848965230624911271e+01,1.199619567092001091e+02
8.886702965385686070e+01,1.199785986696303155e+02
8.924458662839582246e+01,1.199904876692260842e+02
8.962226337004628363e+01,1.199976218230444260e+02
8.999999999999998579e+01,1.200000000000000000e+02
